"","id","dam","sire","LLRpair","dam.batch","sire.batch","Fertilization_pairs","loci"
"1","adapter_trim.F2-J146-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B1-pH8.bam","0.42","2, 4","2, 4","TRUE","CM084268_1_47694452.0, CM084265_1_64733351.1, CM084265_1_71925442.0, CM084271_1_3822736.1, CM084279_1_10157014.0, CM084264_1_70175551.1, CM084276_1_12392697.0, CM084274_1_4778747.0, CM084275_1_25388559.0, CM084279_1_10150695.1, CM084269_1_46858338.1, CM084271_1_44091708.1, CM084276_1_1856904.0, CM084274_1_42855653.1, CM084265_1_71925202.0, CM084274_1_41688609.0, CM084271_1_43851366.0, CM084266_1_57888640.0, CM084275_1_20000958.0, CM084274_1_4704387.0, CM084269_1_39737144.1, CM084279_1_10150674.0, CM084267_1_5882424.1, CM084269_1_15827759.1, CM084276_1_2841302.1, CM084279_1_32640622.0, CM084275_1_38169337.0, CM084274_1_4795058.0, CM084264_1_72117194.1, CM084278_1_23541042.0, CM084265_1_66142270.1, CM084268_1_50739136.0, CM084268_1_50225351.1, CM084277_1_30611605.1, CM084271_1_3805848.1, CM084276_1_38775936.1, CM084264_1_2737868.0, CM084279_1_929045.0, CM084269_1_15809861.0, CM084265_1_46089443.1, CM084276_1_38287449.1, CM084274_1_4773522.1, CM084268_1_50790919.1, CM084271_1_1034868.1, CM084266_1_69315469.1, CM084271_1_26325742.0, CM084278_1_22667296.0, CM084276_1_20157075.1, CM084266_1_57882079.0, CM084269_1_15818485.0"
"2","adapter_trim.F2-J86-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B1-pH8.bam","0.52","2","2, 4","TRUE","CM084273_1_32698894.0, CM084264_1_70182851.0, CM084264_1_73931025.0, CM084276_1_11705154.0, CM084269_1_40451676.1, CM084266_1_68320536.1, CM084265_1_64586071.0, CM084278_1_281214.0, CM084264_1_71718010.1, CM084266_1_69051090.0, CM084268_1_42010.1, CM084276_1_771542.1, CM084275_1_327935.0, CM084264_1_73291570.1, CM084274_1_4863175.0, CM084271_1_1052214.1, CM084267_1_2426144.1, CM084267_1_2908060.1, CM084271_1_290137.0, CM084268_1_4550920.0, CM084278_1_20865574.1, CM084279_1_929045.1, CM084271_1_1052216.0, CM084265_1_71796271.0, CM084269_1_1572473.0, CM084269_1_40451676.1, CM084266_1_57882736.0, CM084272_1_43331300.1, CM084269_1_39737118.1, CM084274_1_4778496.0, CM084267_1_2910789.1, CM084264_1_69862115.0, CM084274_1_42859637.0, CM084278_1_20625578.0, CM084269_1_43525399.0, CM084264_1_73300783.0, CM084265_1_73060810.1, CM084266_1_70930072.1, CM084275_1_23075960.1, CM084276_1_31737936.0, CM084269_1_40336193.1, CM084265_1_785374.0, CM084266_1_70396060.0, CM084276_1_38787723.1, CM084264_1_72117221.1, CM084265_1_71800566.0, CM084277_1_10628755.0, CM084272_1_33607000.0, CM084265_1_68806466.0, CM084274_1_4793160.0"
"3","adapter_trim.F2-J123-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B10-pH8.bam","0.34","1","2","FALSE","CM084265_1_58531646.0, CM084265_1_64765147.0, CM084268_1_49721957.1, CM084274_1_4788638.1, CM084266_1_65347060.1, CM084272_1_33572878.0, CM084264_1_72054055.0, CM084264_1_2737868.1, CM084271_1_26324168.1, CM084270_1_46590815.0, CM084272_1_1596710.0, CM084269_1_46692099.1, CM084271_1_43851366.1, CM084266_1_71317540.1, CM084278_1_20591181.1, CM084278_1_23539431.0, CM084268_1_28845789.0, CM084267_1_5881762.0, CM084269_1_45280054.0, CM084279_1_33014997.1, CM084267_1_6420828.0, CM084272_1_7002402.1, CM084264_1_72075479.0, CM084268_1_50219227.0, CM084278_1_20695466.1, CM084271_1_43860505.1, CM084271_1_43860417.0, CM084266_1_64726584.1, CM084275_1_400292.1, CM084274_1_3691349.1, CM084268_1_1326519.1, CM084268_1_46448.1, CM084274_1_4796079.0, CM084277_1_30168106.0, CM084266_1_57888742.0, CM084265_1_69009992.1, CM084275_1_1304702.0, CM084273_1_31865682.0, CM084279_1_31075821.1, CM084265_1_70799356.0, CM084265_1_70801089.0, CM084279_1_32666436.0, CM084267_1_13226543.0, CM084275_1_39502463.1, CM084273_1_10381194.1, CM084265_1_72076134.1, CM084269_1_40336207.1, CM084278_1_20591181.1, CM084267_1_3204556.0, CM084270_1_4751834.0"
"4","adapter_trim.F2-J143-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B10-pH8.bam","0.42","1, 4","2","FALSE","CM084264_1_69539449.0, CM084265_1_61648602.1, CM084269_1_15799430.1, CM084278_1_20689098.0, CM084264_1_6956767.1, CM084270_1_46587632.1, CM084274_1_4867333.0, CM084273_1_21179215.0, CM084272_1_1704343.0, CM084267_1_51167077.1, CM084277_1_30611563.0, CM084276_1_1856082.0, CM084269_1_43528550.1, CM084266_1_71166412.1, CM084267_1_2426144.0, CM084265_1_69381455.1, CM084264_1_63760.1, CM084276_1_62473.0, CM084268_1_50200545.1, CM084268_1_3699701.0, CM084266_1_23317745.1, CM084271_1_26324168.1, CM084275_1_25397333.0, CM084274_1_4788669.0, CM084276_1_37353162.1, CM084266_1_68478650.0, CM084265_1_68868190.1, CM084271_1_19655820.1, CM084264_1_34294469.1, CM084266_1_69545761.1, CM084274_1_34977105.1, CM084264_1_70182852.0, CM084275_1_35719388.0, CM084265_1_70979994.1, CM084268_1_3261991.0, CM084269_1_45438499.0, CM084264_1_34294472.0, CM084275_1_39774860.1, CM084265_1_65204740.0, CM084267_1_5165677.1, CM084268_1_3691150.1, CM084268_1_3704020.0, CM084274_1_4734036.1, CM084264_1_74989681.0, CM084266_1_58086157.0, CM084266_1_65580309.0, CM084266_1_23321801.1, CM084275_1_660866.1, CM084276_1_1625254.1, CM084267_1_2426144.1"
"5","adapter_trim.F2-J147-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B10-pH8.bam","0.43","1, 4","2","FALSE","CM084271_1_43547024.0, CM084268_1_42024.1, CM084264_1_72054052.0, CM084274_1_4868385.1, CM084267_1_13261525.1, CM084278_1_20732805.0, CM084271_1_379057.1, CM084269_1_1541112.0, CM084265_1_786811.1, CM084269_1_4625304.0, CM084277_1_29208392.0, CM084271_1_344606.0, CM084267_1_2163720.1, CM084277_1_31027263.1, CM084266_1_69085566.0, CM084275_1_529155.1, CM084267_1_2910789.1, CM084271_1_3821131.0, CM084266_1_68960355.0, CM084265_1_72368204.0, CM084265_1_72898809.0, CM084278_1_31960662.0, CM084265_1_73060898.0, CM084266_1_71166411.1, CM084269_1_41809353.1, CM084278_1_31960704.1, CM084272_1_33616442.0, CM084267_1_13261525.1, CM084279_1_1072342.1, CM084271_1_379038.1, CM084264_1_70355122.0, CM084268_1_50219223.0, CM084266_1_58087797.0, CM084265_1_68869208.0, CM084275_1_327919.0, CM084269_1_1567360.1, CM084266_1_69315495.1, CM084274_1_4709093.0, CM084269_1_1556175.1, CM084275_1_25393416.1, CM084274_1_4863996.1, CM084268_1_46422.1, CM084269_1_47265482.0, CM084264_1_72117194.0, CM084266_1_65401945.1, CM084265_1_64735174.1, CM084276_1_11709771.1, CM084266_1_70707608.1, CM084275_1_39491731.1, CM084270_1_4920961.0"
"6","adapter_trim.F2-B8-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B11-pH8.bam","0.38","3","4","FALSE","CM084274_1_42855653.1, CM084265_1_72074244.0, CM084278_1_23541049.1, CM084265_1_50947034.0, CM084279_1_32971482.1, CM084277_1_6198970.1, CM084275_1_35719374.1, CM084267_1_2653040.0, CM084275_1_35720341.0, CM084264_1_8112674.0, CM084272_1_2072732.1, CM084276_1_1856653.1, CM084276_1_38559646.1, CM084275_1_39502397.0, CM084265_1_71820616.0, CM084274_1_41688609.1, CM084265_1_64969585.0, CM084269_1_40447978.1, CM084274_1_4864445.1, CM084270_1_8242309.0, CM084264_1_73926177.0, CM084274_1_5046195.1, CM084272_1_11675308.0, CM084271_1_257176.0, CM084265_1_72992173.0, CM084279_1_1072330.0, CM084266_1_38532340.0, CM084266_1_71166433.0, CM084268_1_50792945.1, CM084269_1_35627080.1, CM084274_1_4694230.1, CM084269_1_15826462.0, CM084276_1_38558640.1, CM084277_1_4875961.1, CM084276_1_6150174.1, CM084265_1_1118701.1, CM084275_1_39394589.0, CM084275_1_39502374.1, CM084271_1_274110.1, CM084264_1_68688988.1, CM084267_1_2104179.0, CM084274_1_4861946.1, CM084272_1_11675265.0, CM084264_1_70466154.1, CM084277_1_35287257.1, CM084270_1_39395914.1, CM084272_1_1891465.0, CM084268_1_273292.0, CM084279_1_32649961.1, CM084265_1_68806414.1"
"7","adapter_trim.F2-J84-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B11-pH8.bam","0.16","3","4","FALSE","CM084268_1_50681546.0, CM084265_1_71826940.0, CM084266_1_69793931.0, CM084271_1_37170448.1, CM084279_1_1073381.0, CM084264_1_75338734.1, CM084274_1_4708735.0, CM084269_1_12903174.1, CM084271_1_43868149.0, CM084276_1_1856630.1, CM084268_1_24030546.0, CM084268_1_49719639.0, CM084276_1_37987466.1, CM084268_1_50739244.0, CM084275_1_66834.0, CM084275_1_20000958.0, CM084276_1_38787723.0, CM084265_1_68868203.0, CM084275_1_39394564.1, CM084276_1_38271842.1, CM084264_1_34294396.0, CM084276_1_38772810.0, CM084265_1_68868203.1, CM084269_1_45238238.0, CM084268_1_1326636.1, CM084277_1_18535877.0, CM084274_1_4870202.0, CM084279_1_31409261.0, CM084269_1_15799403.1, CM084274_1_5120654.1, CM084266_1_57888563.1, CM084265_1_46089443.1, CM084272_1_18553681.1, CM084265_1_72071366.1, CM084274_1_4795858.1, CM084277_1_36521569.0, CM084272_1_18194995.0, CM084269_1_15812958.0, CM084274_1_4863936.0, CM084279_1_10150670.0, CM084271_1_26332979.0, CM084268_1_43541.0, CM084270_1_47077463.0, CM084275_1_25393709.1, CM084266_1_69315458.1, CM084271_1_218843.0, CM084270_1_4920968.0, CM084269_1_42862775.1, CM084269_1_15828548.1, CM084266_1_71166435.1"
"8","adapter_trim.F2-B13-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B11-pH8.bam","0.26","2, 4","4","TRUE","CM084268_1_47694452.0, CM084265_1_64733351.1, CM084265_1_71925442.0, CM084271_1_3822736.1, CM084279_1_10157014.0, CM084264_1_70175551.1, CM084276_1_12392697.0, CM084274_1_4778747.0, CM084275_1_25388559.0, CM084279_1_10150695.1, CM084269_1_46858338.1, CM084271_1_44091708.1, CM084276_1_1856904.0, CM084274_1_42855653.1, CM084265_1_71925202.0, CM084274_1_41688609.0, CM084271_1_43851366.0, CM084266_1_57888640.0, CM084275_1_20000958.0, CM084274_1_4704387.0, CM084269_1_39737144.1, CM084279_1_10150674.0, CM084267_1_5882424.1, CM084269_1_15827759.1, CM084276_1_2841302.1, CM084279_1_32640622.0, CM084275_1_38169337.0, CM084274_1_4795058.0, CM084264_1_72117194.1, CM084278_1_23541042.0, CM084265_1_66142270.1, CM084268_1_50739136.0, CM084268_1_50225351.1, CM084277_1_30611605.1, CM084271_1_3805848.1, CM084276_1_38775936.1, CM084264_1_2737868.0, CM084279_1_929045.0, CM084269_1_15809861.0, CM084265_1_46089443.1, CM084276_1_38287449.1, CM084274_1_4773522.1, CM084268_1_50790919.1, CM084271_1_1034868.1, CM084266_1_69315469.1, CM084271_1_26325742.0, CM084278_1_22667296.0, CM084276_1_20157075.1, CM084266_1_57882079.0, CM084269_1_15818485.0"
"9","adapter_trim.F2-J85-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B11-pH8.bam","0.28","2","4","FALSE","CM084275_1_672856.0, CM084276_1_20157067.0, CM084270_1_32126724.0, CM084272_1_36474242.1, CM084277_1_5804551.0, CM084271_1_43868189.1, CM084278_1_22667307.0, CM084279_1_31065250.0, CM084274_1_4795062.0, CM084272_1_33503448.1, CM084269_1_12904900.1, CM084267_1_5165677.1, CM084274_1_4694916.0, CM084277_1_4876009.0, CM084267_1_2426163.1, CM084270_1_19464627.0, CM084272_1_1327530.1, CM084271_1_3821131.0, CM084269_1_43525399.1, CM084276_1_1856078.0, CM084265_1_68869491.1, CM084274_1_4734035.1, CM084274_1_4694551.0, CM084279_1_16586112.0, CM084274_1_4795086.0, CM084266_1_57883008.0, CM084275_1_1304704.1, CM084276_1_38558546.0, CM084272_1_41046375.0, CM084273_1_31862649.1, CM084278_1_20625578.1, CM084272_1_1704379.0, CM084267_1_832159.1, CM084269_1_43524168.0, CM084276_1_1856078.1, CM084266_1_59364074.1, CM084266_1_68478650.0, CM084265_1_71796309.1, CM084268_1_18512752.1, CM084268_1_50739244.1, CM084264_1_75512053.0, CM084265_1_64196884.0, CM084264_1_70466154.1, CM084271_1_3814120.1, CM084271_1_3814120.0, CM084265_1_68868202.1, CM084269_1_1580179.0, CM084264_1_34300494.0, CM084278_1_20734518.1, CM084266_1_58099055.1"
"10","adapter_trim.F2-J108-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B3-pH8.bam","0.12","1, 4","3","FALSE","CM084272_1_18188624.0, CM084265_1_73060807.0, CM084264_1_75512070.0, CM084272_1_44059306.1, CM084273_1_33585263.0, CM084269_1_43528550.0, CM084269_1_15813150.0, CM084267_1_13261464.1, CM084271_1_44134413.0, CM084270_1_4921089.1, CM084277_1_5804570.1, CM084266_1_69794604.0, CM084274_1_4870391.0, CM084273_1_42294202.0, CM084266_1_23317745.1, CM084268_1_3704024.1, CM084264_1_69287125.0, CM084268_1_24031408.1, CM084264_1_34294469.0, CM084264_1_66561947.1, CM084277_1_30629891.1, CM084266_1_69547380.0, CM084267_1_13226543.0, CM084267_1_700114.1, CM084276_1_38773530.1, CM084268_1_37774069.0, CM084276_1_20157233.0, CM084267_1_2908982.0, CM084276_1_1855843.1, CM084269_1_15823954.1, CM084270_1_47103340.0, CM084276_1_37353154.1, CM084266_1_57882817.0, CM084275_1_267983.1, CM084265_1_8362532.1, CM084268_1_22932621.1, CM084272_1_2928852.1, CM084277_1_10628711.1, CM084266_1_68884692.0, CM084265_1_69381534.0, CM084279_1_1064862.0, CM084279_1_161074.1, CM084269_1_46689548.1, CM084270_1_4920918.0, CM084267_1_9175848.1, CM084275_1_42592938.0, CM084268_1_50681637.0, CM084269_1_46858338.0, CM084276_1_1510330.1, CM084267_1_9175847.0"
