"","id","loci","n.loci","LLRpair","dam","LLRdam","sire","LLRsire"
"1","adapter_trim.F1-J17-pH8.bam","CM084279_1_10157010.0, CM084276_1_4125650.0, CM084276_1_38787723.0, CM084278_1_16774412.1, CM084270_1_42345710.0, CM084278_1_15228688.0, CM084268_1_49082756.0, CM084273_1_31866087.1, CM084269_1_15826462.1, CM084265_1_68808156.1, CM084268_1_276380.0, CM084276_1_38489687.0, CM084272_1_29972645.1, CM084264_1_66439568.1, CM084264_1_68688975.1, CM084264_1_70173615.1, CM084271_1_1052216.0, CM084267_1_5168546.0, CM084271_1_19655228.0, CM084265_1_1229890.0, CM084264_1_26773648.1, CM084271_1_43812187.0, CM084278_1_23536520.1, CM084268_1_50739244.0, CM084274_1_4863175.0, CM084273_1_37927756.0, CM084274_1_4795049.1, CM084265_1_59221220.0, CM084267_1_6421475.1, CM084264_1_70175551.1, CM084264_1_8099092.0, CM084278_1_22654265.0, CM084277_1_5803945.1, CM084265_1_72178250.0, CM084276_1_61679.1, CM084264_1_65422.0, CM084278_1_22654264.1, CM084275_1_39776469.1, CM084275_1_327930.1, CM084275_1_39502374.0, CM084274_1_4066885.0, CM084265_1_19670958.1, CM084269_1_1572991.0, CM084266_1_71160177.1, CM084269_1_15806965.1, CM084269_1_47255758.0, CM084268_1_28845513.0, CM084274_1_4792351.1, CM084264_1_70174613.1, CM084265_1_70799356.0",50,0.26,"adapter_trim.F0-B11.bam",-0.22,"adapter_trim.F0-B9.bam",-0.27
"2","adapter_trim.F1-J69-pH8.bam","CM084279_1_10157010.0, CM084276_1_4125650.0, CM084276_1_38787723.0, CM084278_1_16774412.1, CM084270_1_42345710.0, CM084278_1_15228688.0, CM084268_1_49082756.0, CM084273_1_31866087.1, CM084269_1_15826462.1, CM084265_1_68808156.1, CM084268_1_276380.0, CM084276_1_38489687.0, CM084272_1_29972645.1, CM084264_1_66439568.1, CM084264_1_68688975.1, CM084264_1_70173615.1, CM084271_1_1052216.0, CM084267_1_5168546.0, CM084271_1_19655228.0, CM084265_1_1229890.0, CM084264_1_26773648.1, CM084271_1_43812187.0, CM084278_1_23536520.1, CM084268_1_50739244.0, CM084274_1_4863175.0, CM084273_1_37927756.0, CM084274_1_4795049.1, CM084265_1_59221220.0, CM084267_1_6421475.1, CM084264_1_70175551.1, CM084264_1_8099092.0, CM084278_1_22654265.0, CM084277_1_5803945.1, CM084265_1_72178250.0, CM084276_1_61679.1, CM084264_1_65422.0, CM084278_1_22654264.1, CM084275_1_39776469.1, CM084275_1_327930.1, CM084275_1_39502374.0, CM084274_1_4066885.0, CM084265_1_19670958.1, CM084269_1_1572991.0, CM084266_1_71160177.1, CM084269_1_15806965.1, CM084269_1_47255758.0, CM084268_1_28845513.0, CM084274_1_4792351.1, CM084264_1_70174613.1, CM084265_1_70799356.0",50,0.43,"adapter_trim.F0-B26.bam",-0.39,"adapter_trim.F0-B25.bam",-0.34
"3","adapter_trim.F1-J314-pH75.bam","CM084279_1_10157010.0, CM084276_1_4125650.0, CM084276_1_38787723.0, CM084278_1_16774412.1, CM084270_1_42345710.0, CM084278_1_15228688.0, CM084268_1_49082756.0, CM084273_1_31866087.1, CM084269_1_15826462.1, CM084265_1_68808156.1, CM084268_1_276380.0, CM084276_1_38489687.0, CM084272_1_29972645.1, CM084264_1_66439568.1, CM084264_1_68688975.1, CM084264_1_70173615.1, CM084271_1_1052216.0, CM084267_1_5168546.0, CM084271_1_19655228.0, CM084265_1_1229890.0, CM084264_1_26773648.1, CM084271_1_43812187.0, CM084278_1_23536520.1, CM084268_1_50739244.0, CM084274_1_4863175.0, CM084273_1_37927756.0, CM084274_1_4795049.1, CM084265_1_59221220.0, CM084267_1_6421475.1, CM084264_1_70175551.1, CM084264_1_8099092.0, CM084278_1_22654265.0, CM084277_1_5803945.1, CM084265_1_72178250.0, CM084276_1_61679.1, CM084264_1_65422.0, CM084278_1_22654264.1, CM084275_1_39776469.1, CM084275_1_327930.1, CM084275_1_39502374.0, CM084274_1_4066885.0, CM084265_1_19670958.1, CM084269_1_1572991.0, CM084266_1_71160177.1, CM084269_1_15806965.1, CM084269_1_47255758.0, CM084268_1_28845513.0, CM084274_1_4792351.1, CM084264_1_70174613.1, CM084265_1_70799356.0",50,0.52,"adapter_trim.F0-B26.bam",-0.54,"adapter_trim.F0-B25.bam",-0.48
"4","adapter_trim.F1-B25-pH8.bam","CM084279_1_10157010.0, CM084276_1_4125650.0, CM084276_1_38787723.0, CM084278_1_16774412.1, CM084270_1_42345710.0, CM084278_1_15228688.0, CM084268_1_49082756.0, CM084273_1_31866087.1, CM084269_1_15826462.1, CM084265_1_68808156.1, CM084268_1_276380.0, CM084276_1_38489687.0, CM084272_1_29972645.1, CM084264_1_66439568.1, CM084264_1_68688975.1, CM084264_1_70173615.1, CM084271_1_1052216.0, CM084267_1_5168546.0, CM084271_1_19655228.0, CM084265_1_1229890.0, CM084264_1_26773648.1, CM084271_1_43812187.0, CM084278_1_23536520.1, CM084268_1_50739244.0, CM084274_1_4863175.0, CM084273_1_37927756.0, CM084274_1_4795049.1, CM084265_1_59221220.0, CM084267_1_6421475.1, CM084264_1_70175551.1, CM084264_1_8099092.0, CM084278_1_22654265.0, CM084277_1_5803945.1, CM084265_1_72178250.0, CM084276_1_61679.1, CM084264_1_65422.0, CM084278_1_22654264.1, CM084275_1_39776469.1, CM084275_1_327930.1, CM084275_1_39502374.0, CM084274_1_4066885.0, CM084265_1_19670958.1, CM084269_1_1572991.0, CM084266_1_71160177.1, CM084269_1_15806965.1, CM084269_1_47255758.0, CM084268_1_28845513.0, CM084274_1_4792351.1, CM084264_1_70174613.1, CM084265_1_70799356.0",50,0.51,"adapter_trim.F0-B3.bam",-0.49,"adapter_trim.F0-B18.bam",-0.32
"5","adapter_trim.F1-B6-pH75.bam","CM084279_1_10157010.0, CM084276_1_4125650.0, CM084276_1_38787723.0, CM084278_1_16774412.1, CM084270_1_42345710.0, CM084278_1_15228688.0, CM084268_1_49082756.0, CM084273_1_31866087.1, CM084269_1_15826462.1, CM084265_1_68808156.1, CM084268_1_276380.0, CM084276_1_38489687.0, CM084272_1_29972645.1, CM084264_1_66439568.1, CM084264_1_68688975.1, CM084264_1_70173615.1, CM084271_1_1052216.0, CM084267_1_5168546.0, CM084271_1_19655228.0, CM084265_1_1229890.0, CM084264_1_26773648.1, CM084271_1_43812187.0, CM084278_1_23536520.1, CM084268_1_50739244.0, CM084274_1_4863175.0, CM084273_1_37927756.0, CM084274_1_4795049.1, CM084265_1_59221220.0, CM084267_1_6421475.1, CM084264_1_70175551.1, CM084264_1_8099092.0, CM084278_1_22654265.0, CM084277_1_5803945.1, CM084265_1_72178250.0, CM084276_1_61679.1, CM084264_1_65422.0, CM084278_1_22654264.1, CM084275_1_39776469.1, CM084275_1_327930.1, CM084275_1_39502374.0, CM084274_1_4066885.0, CM084265_1_19670958.1, CM084269_1_1572991.0, CM084266_1_71160177.1, CM084269_1_15806965.1, CM084269_1_47255758.0, CM084268_1_28845513.0, CM084274_1_4792351.1, CM084264_1_70174613.1, CM084265_1_70799356.0",50,0.11,"adapter_trim.F0-B16.bam",-0.35,"adapter_trim.F0-B11.bam",-0.16
"6","adapter_trim.F1-J158-pH8.bam","CM084266_1_67235326.1, CM084275_1_20000990.1, CM084268_1_1326519.1, CM084264_1_70466154.0, CM084277_1_5804354.1, CM084269_1_12903174.1, CM084264_1_8112672.1, CM084264_1_74989689.1, CM084275_1_39394528.0, CM084267_1_6421555.1, CM084275_1_38995260.0, CM084267_1_50993981.0, CM084276_1_20157216.1, CM084264_1_65424.0, CM084275_1_524594.0, CM084268_1_50200545.1, CM084274_1_4785921.0, CM084276_1_6150174.0, CM084275_1_42592938.1, CM084273_1_31864457.1, CM084265_1_68869496.1, CM084270_1_26884058.0, CM084267_1_699449.1, CM084275_1_120888.0, CM084270_1_46587592.0, CM084267_1_2652526.0, CM084274_1_4773546.1, CM084266_1_64723748.0, CM084269_1_15823100.1, CM084267_1_50392661.0, CM084268_1_45613.1, CM084275_1_1304748.1, CM084276_1_1625272.0, CM084268_1_22932623.0, CM084264_1_2740137.1, CM084264_1_34303458.0, CM084269_1_1567133.1, CM084266_1_68910397.0, CM084271_1_30532519.0, CM084265_1_61648596.1, CM084264_1_26777912.0, CM084278_1_23554760.1, CM084265_1_64586071.1, CM084268_1_49735243.0, CM084279_1_10147354.0, CM084264_1_15064138.0, CM084272_1_23644236.1, CM084274_1_4720394.0, CM084269_1_46733079.0, CM084272_1_33453804.0",50,0.15,"adapter_trim.F0-B26.bam",-0.49,"adapter_trim.F0-B15.bam",-0.42
"7","adapter_trim.F1-J259-pH75.bam","CM084266_1_67235326.1, CM084275_1_20000990.1, CM084268_1_1326519.1, CM084264_1_70466154.0, CM084277_1_5804354.1, CM084269_1_12903174.1, CM084264_1_8112672.1, CM084264_1_74989689.1, CM084275_1_39394528.0, CM084267_1_6421555.1, CM084275_1_38995260.0, CM084267_1_50993981.0, CM084276_1_20157216.1, CM084264_1_65424.0, CM084275_1_524594.0, CM084268_1_50200545.1, CM084274_1_4785921.0, CM084276_1_6150174.0, CM084275_1_42592938.1, CM084273_1_31864457.1, CM084265_1_68869496.1, CM084270_1_26884058.0, CM084267_1_699449.1, CM084275_1_120888.0, CM084270_1_46587592.0, CM084267_1_2652526.0, CM084274_1_4773546.1, CM084266_1_64723748.0, CM084269_1_15823100.1, CM084267_1_50392661.0, CM084268_1_45613.1, CM084275_1_1304748.1, CM084276_1_1625272.0, CM084268_1_22932623.0, CM084264_1_2740137.1, CM084264_1_34303458.0, CM084269_1_1567133.1, CM084266_1_68910397.0, CM084271_1_30532519.0, CM084265_1_61648596.1, CM084264_1_26777912.0, CM084278_1_23554760.1, CM084265_1_64586071.1, CM084268_1_49735243.0, CM084279_1_10147354.0, CM084264_1_15064138.0, CM084272_1_23644236.1, CM084274_1_4720394.0, CM084269_1_46733079.0, CM084272_1_33453804.0",50,0.46,"adapter_trim.F0-B26.bam",-0.49,"adapter_trim.F0-B25.bam",-0.13
"8","adapter_trim.F1-J312-pH75.bam","CM084266_1_67235326.1, CM084275_1_20000990.1, CM084268_1_1326519.1, CM084264_1_70466154.0, CM084277_1_5804354.1, CM084269_1_12903174.1, CM084264_1_8112672.1, CM084264_1_74989689.1, CM084275_1_39394528.0, CM084267_1_6421555.1, CM084275_1_38995260.0, CM084267_1_50993981.0, CM084276_1_20157216.1, CM084264_1_65424.0, CM084275_1_524594.0, CM084268_1_50200545.1, CM084274_1_4785921.0, CM084276_1_6150174.0, CM084275_1_42592938.1, CM084273_1_31864457.1, CM084265_1_68869496.1, CM084270_1_26884058.0, CM084267_1_699449.1, CM084275_1_120888.0, CM084270_1_46587592.0, CM084267_1_2652526.0, CM084274_1_4773546.1, CM084266_1_64723748.0, CM084269_1_15823100.1, CM084267_1_50392661.0, CM084268_1_45613.1, CM084275_1_1304748.1, CM084276_1_1625272.0, CM084268_1_22932623.0, CM084264_1_2740137.1, CM084264_1_34303458.0, CM084269_1_1567133.1, CM084266_1_68910397.0, CM084271_1_30532519.0, CM084265_1_61648596.1, CM084264_1_26777912.0, CM084278_1_23554760.1, CM084265_1_64586071.1, CM084268_1_49735243.0, CM084279_1_10147354.0, CM084264_1_15064138.0, CM084272_1_23644236.1, CM084274_1_4720394.0, CM084269_1_46733079.0, CM084272_1_33453804.0",50,0.49,"adapter_trim.F0-B4.bam",-0.14,"adapter_trim.F0-B22.bam",-0.32
"9","adapter_trim.F1-J313-pH75.bam","CM084266_1_67235326.1, CM084275_1_20000990.1, CM084268_1_1326519.1, CM084264_1_70466154.0, CM084277_1_5804354.1, CM084269_1_12903174.1, CM084264_1_8112672.1, CM084264_1_74989689.1, CM084275_1_39394528.0, CM084267_1_6421555.1, CM084275_1_38995260.0, CM084267_1_50993981.0, CM084276_1_20157216.1, CM084264_1_65424.0, CM084275_1_524594.0, CM084268_1_50200545.1, CM084274_1_4785921.0, CM084276_1_6150174.0, CM084275_1_42592938.1, CM084273_1_31864457.1, CM084265_1_68869496.1, CM084270_1_26884058.0, CM084267_1_699449.1, CM084275_1_120888.0, CM084270_1_46587592.0, CM084267_1_2652526.0, CM084274_1_4773546.1, CM084266_1_64723748.0, CM084269_1_15823100.1, CM084267_1_50392661.0, CM084268_1_45613.1, CM084275_1_1304748.1, CM084276_1_1625272.0, CM084268_1_22932623.0, CM084264_1_2740137.1, CM084264_1_34303458.0, CM084269_1_1567133.1, CM084266_1_68910397.0, CM084271_1_30532519.0, CM084265_1_61648596.1, CM084264_1_26777912.0, CM084278_1_23554760.1, CM084265_1_64586071.1, CM084268_1_49735243.0, CM084279_1_10147354.0, CM084264_1_15064138.0, CM084272_1_23644236.1, CM084274_1_4720394.0, CM084269_1_46733079.0, CM084272_1_33453804.0",50,0.43,"adapter_trim.F0-B1.bam",-0.23,"adapter_trim.F0-B22.bam",-0.21
"10","adapter_trim.F1-B11-pH8.bam","CM084266_1_67235326.1, CM084275_1_20000990.1, CM084268_1_1326519.1, CM084264_1_70466154.0, CM084277_1_5804354.1, CM084269_1_12903174.1, CM084264_1_8112672.1, CM084264_1_74989689.1, CM084275_1_39394528.0, CM084267_1_6421555.1, CM084275_1_38995260.0, CM084267_1_50993981.0, CM084276_1_20157216.1, CM084264_1_65424.0, CM084275_1_524594.0, CM084268_1_50200545.1, CM084274_1_4785921.0, CM084276_1_6150174.0, CM084275_1_42592938.1, CM084273_1_31864457.1, CM084265_1_68869496.1, CM084270_1_26884058.0, CM084267_1_699449.1, CM084275_1_120888.0, CM084270_1_46587592.0, CM084267_1_2652526.0, CM084274_1_4773546.1, CM084266_1_64723748.0, CM084269_1_15823100.1, CM084267_1_50392661.0, CM084268_1_45613.1, CM084275_1_1304748.1, CM084276_1_1625272.0, CM084268_1_22932623.0, CM084264_1_2740137.1, CM084264_1_34303458.0, CM084269_1_1567133.1, CM084266_1_68910397.0, CM084271_1_30532519.0, CM084265_1_61648596.1, CM084264_1_26777912.0, CM084278_1_23554760.1, CM084265_1_64586071.1, CM084268_1_49735243.0, CM084279_1_10147354.0, CM084264_1_15064138.0, CM084272_1_23644236.1, CM084274_1_4720394.0, CM084269_1_46733079.0, CM084272_1_33453804.0",50,0.21,"adapter_trim.F0-B20.bam",-0.25,"adapter_trim.F0-B17.bam",-0.37
"11","adapter_trim.F1-B4-pH8.bam","CM084266_1_67235326.1, CM084275_1_20000990.1, CM084268_1_1326519.1, CM084264_1_70466154.0, CM084277_1_5804354.1, CM084269_1_12903174.1, CM084264_1_8112672.1, CM084264_1_74989689.1, CM084275_1_39394528.0, CM084267_1_6421555.1, CM084275_1_38995260.0, CM084267_1_50993981.0, CM084276_1_20157216.1, CM084264_1_65424.0, CM084275_1_524594.0, CM084268_1_50200545.1, CM084274_1_4785921.0, CM084276_1_6150174.0, CM084275_1_42592938.1, CM084273_1_31864457.1, CM084265_1_68869496.1, CM084270_1_26884058.0, CM084267_1_699449.1, CM084275_1_120888.0, CM084270_1_46587592.0, CM084267_1_2652526.0, CM084274_1_4773546.1, CM084266_1_64723748.0, CM084269_1_15823100.1, CM084267_1_50392661.0, CM084268_1_45613.1, CM084275_1_1304748.1, CM084276_1_1625272.0, CM084268_1_22932623.0, CM084264_1_2740137.1, CM084264_1_34303458.0, CM084269_1_1567133.1, CM084266_1_68910397.0, CM084271_1_30532519.0, CM084265_1_61648596.1, CM084264_1_26777912.0, CM084278_1_23554760.1, CM084265_1_64586071.1, CM084268_1_49735243.0, CM084279_1_10147354.0, CM084264_1_15064138.0, CM084272_1_23644236.1, CM084274_1_4720394.0, CM084269_1_46733079.0, CM084272_1_33453804.0",50,0.36,"adapter_trim.F0-B4.bam",-0.35,"adapter_trim.F0-B25.bam",-0.15
"12","adapter_trim.F1-J158-pH8.bam","CM084269_1_1549398.0, CM084267_1_5168533.1, CM084265_1_64196855.1, CM084276_1_38943253.0, CM084273_1_268153.0, CM084267_1_13261449.1, CM084273_1_42253133.0, CM084264_1_69275359.1, CM084267_1_30270802.1, CM084274_1_4694558.1, CM084269_1_4625303.1, CM084267_1_9175848.0, CM084265_1_794917.1, CM084276_1_38558603.0, CM084271_1_30532519.1, CM084276_1_38558640.1, CM084273_1_31865846.0, CM084265_1_72636278.1, CM084276_1_62473.1, CM084267_1_2081904.1, CM084266_1_50301553.1, CM084272_1_33453891.0, CM084267_1_52593733.1, CM084269_1_40451682.1, CM084268_1_22040364.0, CM084271_1_340905.1, CM084274_1_4862951.0, CM084274_1_34976974.1, CM084265_1_72368245.1, CM084268_1_2696122.0, CM084267_1_51248425.1, CM084276_1_11705154.1, CM084276_1_2841302.0, CM084264_1_2738113.1, CM084273_1_31863596.1, CM084269_1_35627096.0, CM084270_1_26890196.1, CM084271_1_26324154.0, CM084264_1_70466147.1, CM084269_1_35627080.0, CM084266_1_58093839.1, CM084269_1_40338578.0, CM084278_1_20591128.1, CM084266_1_70707506.0, CM084265_1_70979994.0, CM084275_1_39781005.1, CM084272_1_18553651.0, CM084271_1_37237146.0, CM084274_1_4862014.1, CM084264_1_75512053.1",50,0.41,"adapter_trim.F0-B4.bam",-0.7,"adapter_trim.F0-B18.bam",-0.77
"13","adapter_trim.201.bam","CM084269_1_1549398.0, CM084267_1_5168533.1, CM084265_1_64196855.1, CM084276_1_38943253.0, CM084273_1_268153.0, CM084267_1_13261449.1, CM084273_1_42253133.0, CM084264_1_69275359.1, CM084267_1_30270802.1, CM084274_1_4694558.1, CM084269_1_4625303.1, CM084267_1_9175848.0, CM084265_1_794917.1, CM084276_1_38558603.0, CM084271_1_30532519.1, CM084276_1_38558640.1, CM084273_1_31865846.0, CM084265_1_72636278.1, CM084276_1_62473.1, CM084267_1_2081904.1, CM084266_1_50301553.1, CM084272_1_33453891.0, CM084267_1_52593733.1, CM084269_1_40451682.1, CM084268_1_22040364.0, CM084271_1_340905.1, CM084274_1_4862951.0, CM084274_1_34976974.1, CM084265_1_72368245.1, CM084268_1_2696122.0, CM084267_1_51248425.1, CM084276_1_11705154.1, CM084276_1_2841302.0, CM084264_1_2738113.1, CM084273_1_31863596.1, CM084269_1_35627096.0, CM084270_1_26890196.1, CM084271_1_26324154.0, CM084264_1_70466147.1, CM084269_1_35627080.0, CM084266_1_58093839.1, CM084269_1_40338578.0, CM084278_1_20591128.1, CM084266_1_70707506.0, CM084265_1_70979994.0, CM084275_1_39781005.1, CM084272_1_18553651.0, CM084271_1_37237146.0, CM084274_1_4862014.1, CM084264_1_75512053.1",50,0.22,"adapter_trim.F0-B10.bam",-0.54,"adapter_trim.F0-B1.bam",-0.45
"14","adapter_trim.F1-J210-pH75.bam","CM084269_1_1549398.0, CM084267_1_5168533.1, CM084265_1_64196855.1, CM084276_1_38943253.0, CM084273_1_268153.0, CM084267_1_13261449.1, CM084273_1_42253133.0, CM084264_1_69275359.1, CM084267_1_30270802.1, CM084274_1_4694558.1, CM084269_1_4625303.1, CM084267_1_9175848.0, CM084265_1_794917.1, CM084276_1_38558603.0, CM084271_1_30532519.1, CM084276_1_38558640.1, CM084273_1_31865846.0, CM084265_1_72636278.1, CM084276_1_62473.1, CM084267_1_2081904.1, CM084266_1_50301553.1, CM084272_1_33453891.0, CM084267_1_52593733.1, CM084269_1_40451682.1, CM084268_1_22040364.0, CM084271_1_340905.1, CM084274_1_4862951.0, CM084274_1_34976974.1, CM084265_1_72368245.1, CM084268_1_2696122.0, CM084267_1_51248425.1, CM084276_1_11705154.1, CM084276_1_2841302.0, CM084264_1_2738113.1, CM084273_1_31863596.1, CM084269_1_35627096.0, CM084270_1_26890196.1, CM084271_1_26324154.0, CM084264_1_70466147.1, CM084269_1_35627080.0, CM084266_1_58093839.1, CM084269_1_40338578.0, CM084278_1_20591128.1, CM084266_1_70707506.0, CM084265_1_70979994.0, CM084275_1_39781005.1, CM084272_1_18553651.0, CM084271_1_37237146.0, CM084274_1_4862014.1, CM084264_1_75512053.1",50,0.41,"adapter_trim.F0-B10.bam",-0.48,"adapter_trim.F0-B1.bam",-0.27
"15","adapter_trim.F1-J363-pH75.bam","CM084269_1_1549398.0, CM084267_1_5168533.1, CM084265_1_64196855.1, CM084276_1_38943253.0, CM084273_1_268153.0, CM084267_1_13261449.1, CM084273_1_42253133.0, CM084264_1_69275359.1, CM084267_1_30270802.1, CM084274_1_4694558.1, CM084269_1_4625303.1, CM084267_1_9175848.0, CM084265_1_794917.1, CM084276_1_38558603.0, CM084271_1_30532519.1, CM084276_1_38558640.1, CM084273_1_31865846.0, CM084265_1_72636278.1, CM084276_1_62473.1, CM084267_1_2081904.1, CM084266_1_50301553.1, CM084272_1_33453891.0, CM084267_1_52593733.1, CM084269_1_40451682.1, CM084268_1_22040364.0, CM084271_1_340905.1, CM084274_1_4862951.0, CM084274_1_34976974.1, CM084265_1_72368245.1, CM084268_1_2696122.0, CM084267_1_51248425.1, CM084276_1_11705154.1, CM084276_1_2841302.0, CM084264_1_2738113.1, CM084273_1_31863596.1, CM084269_1_35627096.0, CM084270_1_26890196.1, CM084271_1_26324154.0, CM084264_1_70466147.1, CM084269_1_35627080.0, CM084266_1_58093839.1, CM084269_1_40338578.0, CM084278_1_20591128.1, CM084266_1_70707506.0, CM084265_1_70979994.0, CM084275_1_39781005.1, CM084272_1_18553651.0, CM084271_1_37237146.0, CM084274_1_4862014.1, CM084264_1_75512053.1",50,0.24,"adapter_trim.F0-B14.bam",-0.43,"adapter_trim.F0-B6.bam",-0.46
"16","adapter_trim.F1-B4-pH8.bam","CM084269_1_1549398.0, CM084267_1_5168533.1, CM084265_1_64196855.1, CM084276_1_38943253.0, CM084273_1_268153.0, CM084267_1_13261449.1, CM084273_1_42253133.0, CM084264_1_69275359.1, CM084267_1_30270802.1, CM084274_1_4694558.1, CM084269_1_4625303.1, CM084267_1_9175848.0, CM084265_1_794917.1, CM084276_1_38558603.0, CM084271_1_30532519.1, CM084276_1_38558640.1, CM084273_1_31865846.0, CM084265_1_72636278.1, CM084276_1_62473.1, CM084267_1_2081904.1, CM084266_1_50301553.1, CM084272_1_33453891.0, CM084267_1_52593733.1, CM084269_1_40451682.1, CM084268_1_22040364.0, CM084271_1_340905.1, CM084274_1_4862951.0, CM084274_1_34976974.1, CM084265_1_72368245.1, CM084268_1_2696122.0, CM084267_1_51248425.1, CM084276_1_11705154.1, CM084276_1_2841302.0, CM084264_1_2738113.1, CM084273_1_31863596.1, CM084269_1_35627096.0, CM084270_1_26890196.1, CM084271_1_26324154.0, CM084264_1_70466147.1, CM084269_1_35627080.0, CM084266_1_58093839.1, CM084269_1_40338578.0, CM084278_1_20591128.1, CM084266_1_70707506.0, CM084265_1_70979994.0, CM084275_1_39781005.1, CM084272_1_18553651.0, CM084271_1_37237146.0, CM084274_1_4862014.1, CM084264_1_75512053.1",50,0.41,"adapter_trim.F0-B13.bam",-0.1,"adapter_trim.F0-B18.bam",-0.58
"17","adapter_trim.F1-B16-pH75.bam","CM084269_1_1549398.0, CM084267_1_5168533.1, CM084265_1_64196855.1, CM084276_1_38943253.0, CM084273_1_268153.0, CM084267_1_13261449.1, CM084273_1_42253133.0, CM084264_1_69275359.1, CM084267_1_30270802.1, CM084274_1_4694558.1, CM084269_1_4625303.1, CM084267_1_9175848.0, CM084265_1_794917.1, CM084276_1_38558603.0, CM084271_1_30532519.1, CM084276_1_38558640.1, CM084273_1_31865846.0, CM084265_1_72636278.1, CM084276_1_62473.1, CM084267_1_2081904.1, CM084266_1_50301553.1, CM084272_1_33453891.0, CM084267_1_52593733.1, CM084269_1_40451682.1, CM084268_1_22040364.0, CM084271_1_340905.1, CM084274_1_4862951.0, CM084274_1_34976974.1, CM084265_1_72368245.1, CM084268_1_2696122.0, CM084267_1_51248425.1, CM084276_1_11705154.1, CM084276_1_2841302.0, CM084264_1_2738113.1, CM084273_1_31863596.1, CM084269_1_35627096.0, CM084270_1_26890196.1, CM084271_1_26324154.0, CM084264_1_70466147.1, CM084269_1_35627080.0, CM084266_1_58093839.1, CM084269_1_40338578.0, CM084278_1_20591128.1, CM084266_1_70707506.0, CM084265_1_70979994.0, CM084275_1_39781005.1, CM084272_1_18553651.0, CM084271_1_37237146.0, CM084274_1_4862014.1, CM084264_1_75512053.1",50,0.54,"adapter_trim.F0-B10.bam",-0.45,"adapter_trim.F0-B1.bam",-0.46
"18","adapter_trim.F1-B20-pH75.bam","CM084269_1_1549398.0, CM084267_1_5168533.1, CM084265_1_64196855.1, CM084276_1_38943253.0, CM084273_1_268153.0, CM084267_1_13261449.1, CM084273_1_42253133.0, CM084264_1_69275359.1, CM084267_1_30270802.1, CM084274_1_4694558.1, CM084269_1_4625303.1, CM084267_1_9175848.0, CM084265_1_794917.1, CM084276_1_38558603.0, CM084271_1_30532519.1, CM084276_1_38558640.1, CM084273_1_31865846.0, CM084265_1_72636278.1, CM084276_1_62473.1, CM084267_1_2081904.1, CM084266_1_50301553.1, CM084272_1_33453891.0, CM084267_1_52593733.1, CM084269_1_40451682.1, CM084268_1_22040364.0, CM084271_1_340905.1, CM084274_1_4862951.0, CM084274_1_34976974.1, CM084265_1_72368245.1, CM084268_1_2696122.0, CM084267_1_51248425.1, CM084276_1_11705154.1, CM084276_1_2841302.0, CM084264_1_2738113.1, CM084273_1_31863596.1, CM084269_1_35627096.0, CM084270_1_26890196.1, CM084271_1_26324154.0, CM084264_1_70466147.1, CM084269_1_35627080.0, CM084266_1_58093839.1, CM084269_1_40338578.0, CM084278_1_20591128.1, CM084266_1_70707506.0, CM084265_1_70979994.0, CM084275_1_39781005.1, CM084272_1_18553651.0, CM084271_1_37237146.0, CM084274_1_4862014.1, CM084264_1_75512053.1",50,0.1,"adapter_trim.F0-B14.bam",-0.51,"adapter_trim.F0-B7.bam",-0.2
"19","adapter_trim.F1-J13-pH8.bam","CM084265_1_70798125.1, CM084276_1_1625254.0, CM084264_1_12084151.0, CM084265_1_794840.1, CM084276_1_38559646.1, CM084279_1_10149547.1, CM084266_1_816291.1, CM084277_1_30953045.0, CM084264_1_70355122.1, CM084266_1_68884692.1, CM084278_1_20695466.1, CM084274_1_4730081.0, CM084269_1_1544433.0, CM084267_1_6421555.1, CM084268_1_82411.0, CM084269_1_12905597.0, CM084266_1_70743740.1, CM084279_1_10156984.0, CM084279_1_32673936.0, CM084268_1_298786.0, CM084272_1_44059285.0, CM084276_1_1856932.0, CM084278_1_20867809.0, CM084271_1_3805848.1, CM084271_1_26332994.0, CM084270_1_39395973.1, CM084272_1_36474160.1, CM084265_1_65322091.0, CM084267_1_8118559.1, CM084272_1_1307854.1, CM084264_1_34293009.1, CM084271_1_44069759.1, CM084273_1_42253181.1, CM084264_1_34301159.0, CM084275_1_38169338.1, CM084267_1_48167433.1, CM084276_1_38772790.1, CM084268_1_24030546.1, CM084268_1_49719639.0, CM084267_1_11257252.1, CM084275_1_39394589.1, CM084279_1_1882771.0, CM084271_1_257149.1, CM084267_1_4505260.1, CM084267_1_48167433.1, CM084272_1_1891463.0, CM084269_1_46858338.1, CM084279_1_1070294.1, CM084275_1_39502454.1, CM084268_1_50679469.0",50,0.2,"adapter_trim.F0-B7.bam",-0.6,"adapter_trim.F0-B5.bam",-0.11
